Policy_ID,Customer_Name,Age,Gender,State,Policy_Type,Annual_Premium,Risk_Score,Tenure_Months,Churned,Claim_Filed,Claim_Amount,Digital_User
POL100000,William Johnson,56,Male,IL,Auto,1562.8,66,104,0,0,0,1
POL100001,John Wilson,69,Male,PA,Life,3347.21,22,105,0,1,5794.76,0
POL100002,David Brown,46,Male,OH,Home,3386.93,56,18,1,0,0,1
POL100003,Emily Williams,32,Female,NY,Life,2362.73,96,35,1,1,14653.79,0
POL100004,Karen Johnson,60,Male,GA,Home,3285.98,71,113,1,1,10836.37,0
POL100005,William Wilson,25,Female,PA,Life,2782.56,63,52,0,0,0,1
POL100006,Robert Johnson,38,Male,IL,Auto,2140.58,38,15,0,1,8432.87,1
POL100007,Lisa Miller,56,Female,NY,Auto,1040.92,31,63,1,0,0,1
POL100008,John Smith,75,Male,MI,Life,1875.79,74,53,0,0,0,0
POL100009,Jane Brown,36,Male,CA,Home,2182.62,38,91,0,0,0,1
POL100010,Emily Rodriguez,40,Female,PA,Auto,3091.88,57,81,1,0,0,0
POL100011,Lisa Smith,28,Female,NY,Life,1944,14,104,0,0,0,1
POL100012,Robert Brown,28,Female,NC,Home,3193.02,44,66,0,0,0,1
POL100013,Karen Lopez,41,Female,OH,Home,2523.05,83,113,0,1,23310.48,1
POL100014,Karen Rodriguez,70,Female,FL,Auto,911,92,114,1,0,0,1
POL100015,James Brown,53,Female,TX,Home,3484.94,80,31,1,0,0,0
POL100016,Jessica Martinez,57,Female,CA,Home,2081.7,55,61,1,0,0,1
POL100017,David Smith,41,Female,NC,Home,1675.57,44,64,0,0,0,0
POL100018,Joseph Williams,20,Female,CA,Life,2477.34,54,101,0,1,14304.02,1
POL100019,Karen Miller,39,Female,TX,Home,826.68,22,105,1,1,3130.32,0
POL100020,Sarah Jones,70,Male,TX,Home,2409.62,19,105,0,0,0,0
POL100021,Michael Brown,19,Female,GA,Auto,1994.71,75,98,0,0,0,1
POL100022,Joseph Garcia,41,Male,OH,Auto,1720.02,79,34,0,0,0,0
POL100023,Jane Johnson,61,Male,IL,Life,3359.06,81,115,1,0,0,1
POL100024,James Johnson,47,Female,PA,Home,2067.62,34,55,0,1,13619.26,0
POL100025,Sarah Garcia,55,Female,GA,Auto,1157.35,53,59,0,0,0,1
POL100026,Lisa Jones,19,Female,MI,Life,1876.89,69,3,1,0,0,1
POL100027,Joseph Smith,38,Male,FL,Home,3258.16,56,17,0,0,0,1
